"Date","Price","Open","High","Low","Vol.","Change %"
"07/06/2018","512.75","500.25","513.25","500.25","0.16K","1.74%"
"07/05/2018","504.00","507.00","508.75","503.25","0.17K","2.54%"
"07/03/2018","491.50","480.75","495.00","480.50","0.72K","2.34%"
"07/02/2018","480.25","497.25","505.00","477.25","0.88K","-3.47%"
"06/29/2018","497.50","479.50","504.00","479.50","2.49K","3.75%"
"06/28/2018","479.50","478.00","485.25","474.25","13.88K","0.00%"
"06/27/2018","479.50","470.00","482.25","468.75","30.82K","2.13%"
"06/26/2018","469.50","477.50","481.75","466.75","27.50K","-1.52%"
"06/25/2018","476.75","490.25","491.00","473.75","28.21K","-2.95%"
"06/22/2018","491.25","495.75","497.50","487.00","38.62K","-0.81%"
"06/21/2018","495.25","490.75","498.75","482.25","51.25K","1.43%"
"06/20/2018","488.25","477.75","490.00","474.75","55.87K","2.20%"
"06/19/2018","477.75","489.50","490.50","467.50","102.77K","-2.50%"
"06/18/2018","490.00","495.50","499.00","487.75","75.22K","-1.90%"
"06/15/2018","499.50","502.50","508.75","487.00","98.17K","-0.40%"
"06/14/2018","501.50","515.75","517.00","498.25","113.60K","-2.90%"
"06/13/2018","516.50","535.00","538.75","514.50","123.83K","-3.37%"
"06/12/2018","534.50","514.75","538.25","510.25","145.45K","3.89%"
"06/11/2018","514.50","520.00","528.25","511.75","95.72K","-1.06%"
"06/08/2018","520.00","528.25","533.50","513.25","128.28K","-1.28%"
"06/07/2018","526.75","522.25","537.00","519.25","121.87K","1.35%"
"06/06/2018","519.75","509.75","531.25","507.50","102.30K","1.91%"
"06/05/2018","510.00","507.00","518.75","506.00","106.92K","0.94%"
"06/04/2018","505.25","520.25","521.25","503.25","104.59K","-3.44%"
"06/01/2018","523.25","524.50","528.00","518.25","84.22K","-0.57%"
"05/31/2018","526.25","522.00","531.75","515.25","86.99K","0.81%"
"05/30/2018","522.00","534.75","534.75","516.50","106.72K","-2.70%"
"05/29/2018","536.50","547.50","554.00","531.50","140.35K","-2.10%"
"05/28/2018","548.00","548.00","548.00","548.00","","0.92%"
"05/25/2018","543.00","530.00","544.75","528.25","86.02K","2.40%"
"05/24/2018","530.25","531.00","545.25","529.25","136.82K","-0.14%"
"05/23/2018","531.00","520.75","531.75","517.25","91.16K","1.82%"
"05/22/2018","521.50","505.50","530.25","502.75","121.34K","2.81%"
"05/21/2018","507.25","523.00","525.50","504.25","101.86K","-2.12%"
"05/18/2018","518.25","497.50","518.75","495.25","98.78K","4.17%"
"05/17/2018","497.50","496.00","505.00","495.00","68.13K","0.66%"
"05/16/2018","494.25","493.75","498.75","491.00","56.23K","0.15%"
"05/15/2018","493.50","490.50","496.25","486.25","74.72K","2.71%"
"05/14/2018","480.50","479.25","479.25","479.25","0.02K","-1.84%"
"05/11/2018","489.50","503.25","505.25","497.00","0.03K","-3.59%"
